,0
2411,1611526563338
2412,1611527181414
2413,1611532181284
2414,1611532663382
2415,1611535367971
2416,1611536956763
2417,1611538175406
2418,1611538895043
2419,1611539591725
2420,1611539821483
2421,1611540438782
2422,1611541822264
2423,1611542893133
2424,1611543186102
2425,1611547545544
2426,1611552891236
2427,1611553760742
2428,1611554302881
2429,1611554803446
2430,1611555057499
2431,1611555665902
2432,1611556222900
2433,1611556443557
2434,1611556767062
2435,1611559194488
2436,1611559281009
2437,1611559334891
2438,1611560225529
2439,1611560943960
2440,1611561010628
2441,1611561415233
2442,1611561546480
2443,1611561754527
2444,1611562394522
2445,1611564171318
2446,1611564311599
2447,1611564695706
2448,1611566967650
2449,1611567281655
2450,1611567312130
2451,1611567843326
2452,1611568128861
2453,1611568625266
2454,1611569311687
2455,1611569668905
2456,1611570300934
2457,1611572220563
2458,1611572630899
2459,1611573563963
2460,1611574005835
2461,1611574007713
2462,1611574292440
2463,1611574302901
2464,1611575862447
2465,1611576238791
2466,1611577622800
2467,1611577835673
2468,1611578582430
2469,1611578778266
2470,1611578997506
2471,1611579187228
2472,1611579522346
2473,1611579549608
2474,1611580181620
2475,1611580435837
2476,1611581567000
2477,1611583015988
2478,1611583204851
2479,1611583765070
2480,1611585028766
2481,1611585081097
2482,1611585580346
2483,1611586737547
2484,1611587623711
2485,1611587701043
2486,1611587823365
2487,1611588153430
2488,1611588263463
2489,1611589228302
2490,1611589428744
2491,1611589623616
2492,1611589661783
2493,1611589800482
2494,1611589840834
2495,1611590068509
2496,1611590278574
2497,1611590471639
2498,1611590795339
2499,1611590918365
2500,1611591345503
2501,1611591396958
2502,1611591516290
2503,1611591896827
2504,1611591915145
2505,1611592094010
2506,1611592549078
2507,1611593365042
2508,1611593438934
2509,1611593700608
2510,1611593717662
2511,1611593933915
2512,1611594372897
2513,1611594816271
2514,1611595104677
2515,1611595301788
2516,1611595547220
2517,1611597055488
2518,1611597532760
2519,1611598304835
2520,1611598442342
2521,1611598599524
2522,1611599696216
2523,1611600122837
2524,1611601761111
2525,1611603087018
2526,1611603734069
2527,1611603906385
2528,1611604398201
2529,1611604647945
2530,1611604809502
2531,1611605179417
2532,1611607127564
2533,1611607816663
2534,1611608452345
2535,1611608467495
2536,1611609500527
2537,1611609554530
2538,1611609816893
2539,1611610117007
2540,1611611368977
2541,1611612364608
2542,1611613129165
2543,1611613493018
2544,1611613517241
2545,1611614077944
2546,1611615455686
2547,1611615765244
2548,1611621653330
2549,1611622317839
2550,1611623045553
2551,1611623718640
2552,1611624773594
2553,1611625212550
2554,1611625790417
2555,1611626364958
2556,1611627494301
2557,1611627566657
2558,1611628286572
2559,1611629552431
2560,1611630553608
2561,1611631403351
2562,1611631496995
2563,1611632209609
2564,1611632539708
2565,1611633166514
2566,1611634732040
2567,1611635074001
2568,1611641733369
2569,1611643396350
2570,1611644804243
2571,1611644843793
2572,1611645448998
2573,1611645619990
2574,1611649747846
2575,1611650216178
2576,1611650862989
2577,1611650880331
2578,1611653046291
2579,1611653469300
2580,1611653721222
2581,1611654745475
2582,1611656436616
2583,1611657632834
2584,1611659426512
2585,1611659462883
2586,1611659980632
2587,1611662416949
2588,1611663112630
2589,1611663431280
2590,1611667039706
